phase,ลำดับ PWA,ลำดับ PEA,กปภ.สาขา,แม่ข่่าย/หน่วยบริการ,สถานที่,เลขบัญชีผู้ใช้ไฟ,หมายเลขมิเตอร์,Team,Zero export,กำลังการผลิต,Layout,Pvsyst,For Con Rev.00,Civil Check,EE Check,รายการคำนวณ,จำนวนแผง,125 kW,80 kW,60 kW,40 kW,FTS,REVENUE,PQM,ประเภทมิเตอร์ไฟ,มิเตอร์น้ำ,ประเภทที่ดิน,กปภ.เขต,กฟภ.เขต,กฟภ.เขต,Lat,Long,จัังหวัด,Column 1,TEAM,ที่อยู่,Team เก่า,Column 36
2,107,1,กปภ.เขต 9,สนง.ข.9,สำนักงานประปาเขต 9,20004516255,27665544,N,MV,125.4,1,1,1,,,1,220,1,,,,4,1,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,18.82284,99.04928,เชียงใหม่,1,C,ต.สันนาเม็ง อ.สันทราย จ.เชียงใหม่ 50210,C,1
2,108,2,กปภ.สาขาเชียงใหม่,ม.เชียงใหม่,สถานีผลิตน้ำแม่กวง,20005463009,27668932,N,MV,112.86,1,1,1,,,1,198,1,,,,3,1,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,18.93591,99.14026,เชียงใหม่,1,C,ต.ลวงเหนือ อ.ดอยสะเก็ด จ.เชียงใหม่ 50220,C,1
2,109,3,กปภ.สาขาเชียงใหม่,ม.เชียงใหม่,สถานีผลิตน้ำแม่แฝก,20019196582,27665558,N,MV,314.64,1,1,1,,,1,552,2,,,1,8,1,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,19.01413,98.97117,เชียงใหม่,1,C,ต.แม่แฝก อ.สันทราย จ.เชียงใหม่ 50290,C,1
2,110,4,กปภ.สาขาเชียงใหม่,ม.เชียงใหม่,สถานีจ่ายน้ำสันทราย,20020207736,6300033745,N,LV,102.6,1,1,1,,,1,180,1,,,,3,1,0,แรงต่ำ,,ที่ดิน กปภ.,9,น.1,น,18.8411346,99.0257477,เชียงใหม่,1,C,ต.หนองจ๊อม อ.สันทราย จ.เชียงใหม่ 50210,C,1
2,111,5,กปภ.สาขาแม่ริม,แม่ริม,สถานีผลิตน้ำแม่ริม,20005543568,23055876,N,MV,282.72,1,1,1,,,1,496,2,,,,7,1,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,18.91163,98.9551,เชียงใหม่,1,C,ต.ริมใต้ อ.แม่ริม จ.เชียงใหม่ 50180,C,1
2,112,6,กปภ.สาขาแม่สาย,ม.แม่สาย,โรงสูบแรงสูงแม่สาย,20005769926,23060388,N,MV,133.38,1,1,1,,,1,234,,1,1,,5,2,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,20.439479,99.880328,เชียงราย,1,C,ต.เวียงพางคำ อ.แม่สาย จ.เชียงราย 57130,S,0
2,113,7,กปภ.สาขาแม่สาย,ม.แม่สาย,สถานีผลิตน้ำเกาะช้าง,20005763480,6500202239,N,LV,102.6,1,1,1,,,1,180,1,,,,3,1,0,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,20.454253,99.964188,เชียงราย,1,C,ต.เกาะช้าง อ.แม่สาย จ.เชียงราย 57130,S,0
2,114,8,กปภ.สาขาพะเยา,พะเยา,สถานีผลิตน้ำดอยจอมทอง,20005780973,23060960,N,MV,435.48,1,1,1,,,1,764,3,,,1,11,1,1,แรงสูง,,ที่ธรณีสงฆ์,9,น.1,น,19.1814,99.88883,พะเยา,1,C,ต.บ้านต๋อม อ.เมืองพะเยา จ.พะเยา 56000,S,0
2,115,9,กปภ.สาขาลำปาง,ม.ลำปาง,สถานีผลิตน้ำพระบาท สระ 1,20005306465,6300033118,N,MV,254.22,1,1,1,,,1,446,2,,,,7,1,1,แรงสูง,,ที่ราชพัสดุ,9,น.1,น,18.28596,99.51347,ลำปาง,1,C,ต.พระบาท อ.เมืองลำปาง จ.ลำปาง 52000,C,1
2,116,10,กปภ.สาขาลำปาง,น.แม่เมาะ,สำนักงานประปาแม่เมาะ,20005307380,23067389,N,LV,102.6,1,1,1,,,1,180,1,,,,3,1,0,แรงต่ำ,,ที่ราชพัสดุ,9,น.1,น,18.28204,99.65996,ลำปาง,1,C,ต.แม่เมาะ อ.แม่เมาะ จ.ลำปาง 52220,C,1
2,117,11,กปภ.สาขาลำพูน,ม.ลำพูน,โรงกรองน้ำแรงสูงริมปิง (ใหม่),20004613558,23063530,N,MV,181.26,1,1,1,,,1,318,,2,,,5,1,1,แรงสูง,,ที่ดิน กปภ.,9,น.1,น,18.58933,98.97808,ลำพูน,1,C,ต.ริมปิง อ.เมืองลำพูน จ.ลำพูน 51000,C,1
2,118,12,กปภ.สาขาลำพูน,ลำพูน,สำนักงานการประปาส่วนภูมิภาคสาขาลำพูน,20004703510,27662945,N,MV (ติดตั้งยาก เนื่องจาก เสาหม้อแปลงอยู่ต้นถัดจากเสามิเตอร์และ มีช่องว่างน้อย),94.62,1,1,1,,,1,166,,1,,,3,1,1,แรงสูง,,ที่ราชพัสดุ,9,น.1,น,18.57372,99.00893,ลำพูน,1,C,ต.ในเมือง อ.เมือง จ.ลำพูน 51000,C,1
2,119,13,กปภ.สาขาแพร่,ม.แพร่,สถานีผลิตน้ำประปาแพร่,20010357984,27664642,N,MV,220.02,1,1,1,,,1,386,2,,,,8,2,1,แรงสูง,,ที่ราชพัสดุ,9,น.2,น,18.13364,100.14229,แพร่,1,C,ต.ในเวียง อ.เมืองแพร่ จ.แพร่ 54000,C,1
2,120,14,กปภ.สาขาน่าน,ม.น่าน,สถานีผลิตน้ำราษฎร์อำนวย,20009484347,23047795,N,MV,143.64,1,1,1,,,1,252,1,,,,3,1,1,แรงสูง,,ที่ราชพัสดุ,9,น.2,น,18.79379,100.7837,น่าน,1,C,ต.ในเวียง อ.เมืองน่าน จ.น่าน 55000,C,1
2,121,15,กปภ.สาขาแม่สอด,ม.แม่สอด,สถานีผลิตน้ำพระธาตุผาแดง,20021986633,6500645355,N,MV,184.68,1,1,1,,,1,324,1,,,1,4,1,1,แรงสูง,,โฉนดที่ดิน 37733,10,น.2,น,16.7031358,98.6272327,ตาก,1,S,ต.พระธาตุผาแดง อ.แม่สอด จ.ตาก 63110,S,1
2,122,16,กปภ.สาขาตะพานหิน,ม.ตะพานหิน,สำนักงานประปาตะพานหิน,20010560011,5800001423,N,MV,305.52,1,1,1,,,1,536,2,,,1,8,1,1,แรงสูง,,ที่ราชพัสดุ เลขที่ 150,10,น.2,น,16.22813,100.41939,พิจิตร,1,S,ต.งิ้วราย อ.ตะพานหิน จ.พิจิตร 66110,S,1
2,123,17,กปภ.สาขาตาก,ตาก,สถานีผลิตน้ำประปาตาก,20010459453,5900796785,N,MV,233.7,1,1,1,,,1,410,1,1,,,7,1,1,แรงสูง,,ที่ดิน กปภ.,10,น.2,น,16.88163,99.12606,ตาก,1,S,ต.เชียงเงิน อ.เมืองตาก จ.ตาก 63000,S,1
2,124,18,กปภ.สาขาบางมูลนาก,ม.บางมูลนาก,สำนักงานประปาบางมูลนาก,20009873921,6101484860,N,MV,141.36,1,1,1,,,1,248,1,,,,4,1,1,แรงสูง,,0,10,น.2,น,16.03846,100.37792,พิจิตร,1,S,ต.บางมูลนาก อ.บางมูลนาก จ.พิจิตร 66120,S,1
2,125,19,กปภ.สาขาพิจิตร,-,สถานีผลิตน้ำโคกสลุด,20009938846,27697363,N,LV,100.32,1,1,1,,,1,176,1,,,,3,1,0,แรงต่ำ,,ไม่มีข้อมูล,10,น.2,น,16.581,100.24555,พิษณุโลก,1,S,ต.โคกสลุด อ.บางกระทุ่ม จ.พิษณุโลก 65110,S,1
2,126,20,กปภ.สาขาพิษณุโลก,น.หัวรอ,หน่วยบริการหัวรอ,20009697570,27669313,N,MV,475.38,1,1,1,,,1,834,3,,1,,14,1,1,แรงสูง,,ที่ดินกปภ./เช่าวัดสระยาง,10,น.2,น,16.86005,100.24855,พิษณุโลก,1,S,ต.หัวรอ อ.เมืองพิษณุโลก จ.พิษณุโลก 65000,C,0
2,127,21,กปภ.สาขาพิษณุโลก,-,สถานีจ่ายน้ำสมอแข,20019638400,27671484,N,LV,123.12,1,1,1,,,1,216,1,,,,3,1,0,แรงต่ำ,,ไม่มีข้อมูล,10,น.2,น,16.82086,100.34109,พิษณุโลก,1,S,ต.สมอแข เมืองพิษณุโลก จ.พิษณุโลก 65000,C,0
2,128,22,กปภ.สาขาสวรรคโลก,ม.สวรรคโลก,สำนักงานประปาสวรรคโลก,20010305847,23061665,N,MV,159.6,1,1,1,,,1,280,,1,1,,5,1,1,แรงสูง,,โฉนดเลขที่ 16551 เลขที่ดิน 21,10,น.2,น,17.34492,99.83183,สุโขทัย,1,S,ต.ในเมือง อ.สวรรคโลก จ.สุโขทัย 64110,C,0
2,129,23,กปภ.สาขาสุโขทัย,สุโขทัย,สถานีผลิตน้ำปากแคว,20009713545,5900796663,N,MV,136.8,1,1,1,,,1,240,1,,,,5,1,1,แรงสูง,,"ที่ราชพัสดุ, ที่กปภ.",10,น.2,น,17.02887,99.8247,สุโขทัย,1,S,ต.ปากแคว อ.เมืองสุโขทัย จ.สุโขทัย 64000,C,0
2,130,24,กปภ.สาขาสุโขทัย,-,สถานีผลิตน้ำทุ่งทะเลหลวง,20019921149,25245842,N,LV,124.26,1,1,1,,,1,218,1,,,,3,1,0,แรงสูง,,ที่ราชพัสดุ,10,น.2,น,17.04526,99.804736,สุโขทัย,1,S,ต.บ้านกล้วย อ.เมืองสุโขทัย จ.สุโขทัย 64000,C,0
2,131,25,กปภ.สาขาอุตรดิตถ์,อุตรดิตถ์,สถานีผลิตน้ำปากฝาง,20010630297,25244693,N,LV,104.88,1,1,1,,,1,184,1,,,,4,1,0,แรงสูง,,ที่ดิน กปภ.,10,น.2,น,17.65592,100.22224,อุตรดิตถ์,1,S,ต.ผาจุก อ.เมืองอุตรดิตถ์ จ.อุตรดิตถ์ 53000,C,0
2,94,81,กปภ.สาขากุยบุรี,ม.กุยบุรี,สำนักงานประปากุยบุรี,20004175833,23053793,S,MV,305.52,1,1,1,,,1,536,2,,1,,8,2,1,แรงสูง,,ที่ราชพัสดุ,3,ต.1,ต,12.07309,99.85819,ประจวบคีรีขันธ์,3,S,ต.กุยบุรี อ.กุยบุรี จ.ประจวบคีรีขันธ์ 77150,S,1
2,95,82,กปภ.สาขากุยบุรี,ม.กุยบุรี,สถานีผลิตน้ำ ไร่ใหม่-ไร่เก่า,20003901734,6001692600,S,MV,136.8,1,1,1,,,1,240,1,,,,5,1,1,แรงสูง,,ที่ดินราชพัสดุ,3,ต.1,ต,12.20109,99.85588,ประจวบคีรีขันธ์,3,S,ต.ไร่ใหม่ อ.สามร้อยยอด จ.ประจวบคีรีขันธ์ 77180,S,1
2,96,83,กปภ.สาขาประจวบคีรีขันธ์,ม.ประจวบคีรีขันธ์,สำนักงานประปาประจวบคีรีขันธ์,20004037865,23053794,S,MV,164.16,1,1,1,,,1,288,,2,,,5,1,1,แรงสูง,,ที่กรมธนารักษ์,3,ต.1,ต,11.81442,99.7926,ประจวบคีรีขันธ์,3,S,ต.ประจวบคีรีขันธ์ อ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์ 77000,S,1
2,97,84,กปภ.สาขาปราณบุรี,ปราณบุรี,สถานีผลิตน้ำเขาเสวยราชย์,20003668734,90280434,S,MV,449.16,1,1,1,,,1,788,3,,,,10,1,1,แรงสูง,,ที่ดินสาธารณประโยชน์,3,ต.1,ต,12.53505,99.88851,ประจวบคีรีขันธ์,3,B,ต.ทับใต้ อ.หัวหิน จ.ประจวบคีรีขันธ์ 77110,B,1
2,98,85,กปภ.สาขาปราณบุรี,-,สถานีผลิตน้ำปราณบุรี,20003898989,20665316,S,MV(หม้อแปลง และมิเตอร์ อยู่บนเสาต้นเดียวกัน),185.82,1,1,1,,,1,326,1,,1,,6,1,1,แรงสููง*มิเตอร์อยู่ที่เสาหม้อแปลง,,ที่ดินราชพัสดุ,3,ต.1,ต,12.3834308,99.90624,ประจวบคีรีขันธ์,3,S,ต.เขาน้อย อ.ปราณบุรี จ.ประจวบคีรีขันธ์ 77120,S,1
2,99,86,กปภ.สาขาปราณบุรี,ปราณบุรี,สถานีจ่ายน้ำประปาปากน้ำปราณ,20004404677,27665849,S,MV,132.24,1,1,1,,,1,232,1,,,,3,1,1,แรงสูง,,ที่ราชพัสดุ,3,ต.1,ต,12.39385,99.9888,ประจวบคีรีขันธ์,3,S,ต.ปากน้ำปราณ อ.ปราณบุรี จ.ประจวบคีรีขันธ์ 77220,S,1
2,72,35,กปภ.สาขาเสนา,ม.เสนา,สถานีผลิตและจ่ายน้ำบางบาล,20000955049,6201224332,W,MV,150.48,1,1,1,,,1,264,1,,,,4,1,1,แรงสูง,,ที่ดิน กปภ.โฉนดเลขที่ 33291,2,ก.1,ก,14.37759,100.52141,พระนครศรีอยุธยา,1,B,ต.บ้านใหม่ อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,B,1
2,73,36,กปภ.สาขาปทุมธานี,ม.ปทุมธานี,สถานีผลิตน้ำไม้ตรา,20023405430,6300008161,W,MV,474.24,1,1,1,,,1,832,3,,,1,11,1,1,แรงสูง,,ที่ดินของ กปภ.,2,ก.1,ก,14.181753,100.49946,พระนครศรีอยุธยา,1,B,ต.บางไทร อ.บางไทร จ.พระนครศรีอยุธยา 13190,B,1
2,74,37,กปภ.สาขาพระนครศรีอยุธยา,ม.พระนครศรีอยุธยา,สถานีผลิตน้ำประปาพระนครศรีอยุธยา 1,20017728821,23053442,W,MV,304.38,1,1,1,,,1,534,2,,,,7,1,1,แรงสูง,,ที่ดิน สนง.ทรัพย์สินส่วนพระมหากษัตริย์/เช่า,2,ก.1,ก,14.37031,100.61337,พระนครศรีอยุธยา,1,B,ต.หันตรา อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา 13000,B,1
2,84,57,กปภ.สาขาเดิมบางนางบวช,ม.เดิมบางนางบวช,สำนักงานประปาเดิมบางนางบวช,20003589605,23054597,W,MV,194.94,1,1,1,,,1,342,1,,1,,8,2,1,แรงสูง,,ที่ราชพัสดุ,3,ก.3,ก,14.87964,100.07938,สุพรรณบุรี,1,B,ต.เดิมบาง อ.เดิมบางนางบวช จ.สุพรรณบุรี 72120,B,1
2,85,58,กปภ.สาขากาญจนบุรี,ม.กาญจนบุรี,สำนักงานประปากาญจนบุรี,20003133482,23049786,W,MV,258.21,1,1,1,,,1,453,1,,1,1,9,2,1,แรงสูง,,ที่ราชพัสดุ,3,ก.3,ก,14.03213,99.52185,กาญจนบุรี,1,B,ต.บ้านใต้ อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71000,B,1
2,86,59,กปภ.สาขากาญจนบุรี,-,สถานีจ่ายน้ำท่าล้อ,20024254383,6300411665,W,MV,209.76,1,1,1,,,1,368,1,,1,,5,1,1,แรงสูง,,ที่ดินราชพัสดุ,3,ก.3,ก,13.979611,99.601532,กาญจนบุรี,1,B,ต.ท่าล้อ อ.ท่าม่วง จ.กาญจนบุรี 71110,B,1
2,87,60,กปภ.สาขากาญจนบุรี,-,สถานีจ่ายน้ำเขาหัวล้าน,20022060940,23047926,W,MV,185.82,1,1,1,,,1,326,1,,1,,6,1,1,แรงสูง,,ที่ดินราชพัสดุ,3,ก.3,ก,14.040653,99.537284,กาญจนบุรี,1,B,ต.ปากแพรก อ.เมืองกาญจนบุรี จ.กาญจนบุรี 71000,B,1
2,88,61,กปภ.สาขาท่ามะกา,ม.ท่ามะกา,สถานีผลิตน้ำท่าม่วง,20002758990,27668294,W,MV,595.08,1,1,1,,,1,1044,4,,,,16,1,1,แรงสูง,,ที่ดิน กปภ.,3,ก.3,ก,13.97752,99.67432,กาญจนบุรี,1,B,ต.วังขนาย อ.ท่าม่วง จ.กาญจนบุรี 71110,B,1
2,89,62,กปภ.สาขานครปฐม,ม.นครปฐม,สถานีจ่ายน้ำนครชัยศรี,20003337656,6500644724,W,MV (รถเข้าไปปักเสาไม่ได้),389.88,1,1,1,,,1,684,2,1,,,9,2,1,แรงสูง,,ที่ดิน กปภ.,3,ก.3,ก,13.81453,100.18388,นครปฐม,1,B,ต.วัดแค อ.นครชัยศรี จ.นครปฐม 73120,B,1
2,90,63,กปภ.สาขาพนมทวน,ม.พนมทวน,สถานีผลิตน้ำพนมทวน,20003215167,23075847,W,LV,140.22,1,1,1,,,1,246,1,,,,5,1,0,แรงต่ำ,,ที่ราชพัสดุ,3,ก.3,ก,14.12241,99.68596,กาญจนบุรี,1,B,ต.พนมทวน อ.พนมทวน จ.กาญจนบุรี 71140,B,1
2,91,64,กปภ.สาขาสุพรรณบุรี,-,สถานีผลิตน้ำวังยาง,20016603314,28123752,W,MV,499.32,1,1,1,,,1,876,3,,1,,13,1,1,แรงสูง,,ที่ดิน กปภ.,3,ก.3,ก,14.554346,100.13787,สุพรรณบุรี,1,B,ต.วังยาง อ.ศรีประจันต์ จ.สุพรรณบุรี 72000,B,1
2,92,79,กปภ.สาขาเพชรบุรี,-,สถานีผลิตน้ำบ้านลาด 2,20017631946,5701540315,W,MV,805.98,1,1,1,,,1,1414,6,,,,20,1,1,แรงสููง,,ไม่มีข้อมูล,3,ต.1,ต,13.07483,99.93451,เพชรบุรี,3,B,ต.บ้านหม้อ .เมืองเพชรบุรี จ.เพชรบุรี 76000,B,1
2,93,80,กปภ.สาขาเพชรบุรี,ม.เพชรบุรี,สถานีผลิตน้ำบ้านลาด 1,20004350841,90331272,W,MV,654.36,1,1,1,,,1,1148,5,,,,16,1,1,แรงสูง,,ไม่มีข้อมูล,3,ต.1,ต,13.07622,99.93828,เพชรบุรี,3,B,ต.บ้านหม้อ .เมืองเพชรบุรี จ.เพชรบุรี 76000,B,1
2,100,87,กปภ.สาขาปากท่อ,น.เขาย้อย,สถานีจ่ายน้ำเขาย้อย,20003768578,27704365,W,LV,102.6,1,1,1,,,1,180,1,,,,4,1,0,แรงต่ำ,,ที่ดิน กปภ.,3,ต.1,ต,13.26062,99.82353,เพชรบุรี,3,B,ต.สระพัง อ.เขาย้อย จ.เพชรบุรี 76140,B,1
2,101,88,กปภ.สาขาสมุทรสงคราม,,สำนักงานประปาสมุทรสงคราม,20003781526,23063376,W,MV,161.88,1,1,1,,,,284,,2,,,4,1,1,แรงสูง,,,3,ต.1,ต,13.40108,99.998,สมุทรสงคราม,3,S,ต.แม่กลอง อ.เมืองสมุทรสงคราม จ.สมุทรสงคราม 75000,C,0