ลำดับ,สถานที่,กปภ.สาขา,กำลังการผลิต,จำนวนแผง,Team,Zero export,125 kW,80 kW,60 kW,40 kW,FTS,REVENUE,Daily Report,Weekly Request,Weekly Report,Monthly Report,รูปถ่าย,Start Date (M-D-Y),Due Date (M-D-Y),Duration,Count Down
107,สำนักงานประปาเขต 9,กปภ.เขต 9,125.4,220,N,MV,1,,,,4,1,,CLICK,CLICK,CLICK,CLICK,6/9/2025,08/08/2025,60,26
108,สถานีผลิตน้ำแม่กวง,กปภ.สาขาเชียงใหม่,112.86,198,N,MV,1,,,,3,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,08/08/2025,60,26
109,สถานีผลิตน้ำแม่แฝก,กปภ.สาขาเชียงใหม่,314.64,552,N,MV,2,,,1,8,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,09/07/2025,90,46
110,สถานีจ่ายน้ำสันทราย,กปภ.สาขาเชียงใหม่,102.6,180,N,LV,1,,,,3,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,08/08/2025,60,26
111,สถานีผลิตน้ำแม่ริม,กปภ.สาขาแม่ริม,282.72,496,N,MV,2,,,,7,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,09/07/2025,90,46
112,โรงสูบแรงสูงแม่สาย,กปภ.สาขาแม่สาย,133.38,234,N,MV,,1,1,,5,2,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,08/08/2025,60,26
113,สถานีผลิตน้ำเกาะช้าง,กปภ.สาขาแม่สาย,102.6,180,N,LV,1,,,,3,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,08/08/2025,60,26
114,สถานีผลิตน้ำดอยจอมทอง,กปภ.สาขาพะเยา,435.48,764,N,MV,3,,,1,11,1,CLICK!,CLICK!,CLICK!,CLICK!,CLICK!,6/9/2025,09/07/2025,90,46
123,สถานีผลิตน้ำประปาตาก,กปภ.สาขาตาก,233.7,410,N,MV,1,1,,,7,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,08/08/2025,60,26
126,หน่วยบริการหัวรอ,กปภ.สาขาพิษณุโลก,475.38,834,N,MV,3,,1,,14,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,09/07/2025,90,46
127,สถานีจ่ายน้ำสมอแข,กปภ.สาขาพิษณุโลก,123.12,216,N,LV,1,,,,3,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,08/08/2025,60,26
128,สำนักงานประปาสวรรคโลก,กปภ.สาขาสวรรคโลก,159.6,280,N,MV,,1,1,,5,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,08/08/2025,60,26
122,สำนักงานประปาตะพานหิน,กปภ.สาขาตะพานหิน,305.52,536,N,MV,2,,,1,8,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/9/2025,09/07/2025,90,46
124,สำนักงานประปาบางมูลนาก,กปภ.สาขาบางมูลนาก,141.36,248,N,MV,1,,,,4,1,CLICK,CLICK,CLICK,CLICK,CLICK,7/28/2025,09/26/2025,60,61
129,สถานีผลิตน้ำปากแคว,กปภ.สาขาสุโขทัย,136.8,240,N,MV,1,,,,5,1,CLICK,CLICK,CLICK,CLICK,CLICK,6/30/2025,08/29/2025,60,41
121,สถานีผลิตน้ำพระธาตุผาแดง,กปภ.สาขาแม่สอด,184.68,324,N,MV,1,,,1,4,1,CLICK,CLICK,CLICK,CLICK,CLICK,7/28/2025,09/26/2025,60,61
125,สถานีผลิตน้ำโคกสลุด,กปภ.สาขาพิจิตร,100.32,176,N,LV,1,,,,3,1,CLICK,CLICK,CLICK,CLICK,CLICK,7/28/2025,09/26/2025,60,61
130,สถานีผลิตน้ำทุ่งทะเลหลวง,กปภ.สาขาสุโขทัย,124.26,218,N,LV,1,,,,3,1,CLICK,CLICK,CLICK,CLICK,CLICK,7/28/2025,09/26/2025,60,61
131,สถานีผลิตน้ำปากฝาง,กปภ.สาขาอุตรดิตถ์,104.88,184,N,LV,1,,,,4,1,CLICK,CLICK,CLICK,CLICK,CLICK,7/28/2025,09/26/2025,60,61
115,สถานีผลิตน้ำพระบาท สระ 1,กปภ.สาขาลำปาง,254.22,446,N,MV,2,,,,7,1,CLICK,CLICK,CLICK,CLICK,CLICK,8/1/2025,09/30/2025,60,63
116,สำนักงานประปาแม่เมาะ,กปภ.สาขาลำปาง,102.6,180,N,LV,1,,,,3,1,CLICK,CLICK,CLICK,CLICK,CLICK,8/1/2025,09/30/2025,60,63
117,โรงกรองน้ำแรงสูงริมปิง (ใหม่),กปภ.สาขาลำพูน,181.26,318,N,MV,,2,,,5,1,CLICK,CLICK,CLICK,CLICK,CLICK,8/1/2025,09/30/2025,60,63
118,สำนักงานการประปาส่วนภูมิภาคสาขาลำพูน,กปภ.สาขาลำพูน,94.62,166,N,LV,,1,,,3,1,CLICK,CLICK,CLICK,CLICK,CLICK,8/1/2025,09/30/2025,60,63
119,สถานีผลิตน้ำประปาแพร่,กปภ.สาขาแพร่,220.02,386,N,MV,2,,,,8,2,CLICK,CLICK,CLICK,CLICK,CLICK,8/1/2025,09/30/2025,60,63
120,สถานีผลิตน้ำราษฎร์อำนวย,กปภ.สาขาน่าน,143.64,252,N,MV,1,,,,3,1,CLICK,CLICK,CLICK,CLICK,CLICK,8/1/2025,09/30/2025,60,63